index,P,Q,VaR,VaI,VbR,VbI,VcR,VcI
206,46557.96,18.61,202.28,-1.9,-102.87,-180.81,-104.38,176.1
207,46567.66,18.15,202.28,-1.9,-102.87,-180.81,-104.38,176.1
208,46576.61,17.68,202.28,-1.9,-102.87,-180.81,-104.38,176.1
209,46584.8,17.2,202.28,-1.9,-102.87,-180.81,-104.39,176.1
210,46592.26,16.73,202.29,-1.89,-102.87,-180.81,-104.39,176.1
211,46598.98,16.24,202.29,-1.89,-102.87,-180.81,-104.39,176.1
212,46604.98,15.76,202.29,-1.89,-102.87,-180.81,-104.39,176.1
213,46610.25,15.27,202.29,-1.89,-102.87,-180.81,-104.39,176.1
214,46614.82,14.78,202.29,-1.89,-102.87,-180.82,-104.39,176.1
215,46618.68,14.28,202.29,-1.89,-102.86,-180.82,-104.39,176.1
216,46621.85,13.79,202.29,-1.89,-102.86,-180.82,-104.39,176.1
217,46624.34,13.29,202.29,-1.89,-102.86,-180.82,-104.39,176.1
218,46626.15,12.79,202.29,-1.89,-102.86,-180.82,-104.39,176.1
219,46627.29,12.29,202.29,-1.89,-102.86,-180.82,-104.39,176.1
220,46627.78,11.79,202.29,-1.89,-102.86,-180.82,-104.39,176.1
221,46627.63,11.29,202.29,-1.89,-102.86,-180.82,-104.39,176.1
222,46626.84,10.78,202.29,-1.89,-102.86,-180.82,-104.39,176.1
223,46625.42,10.28,202.29,-1.89,-102.86,-180.82,-104.39,176.1
224,46623.4,9.78,202.29,-1.89,-102.86,-180.82,-104.39,176.1
225,46620.77,9.28,202.29,-1.89,-102.86,-180.82,-104.39,176.1
226,46617.55,8.79,202.29,-1.89,-102.86,-180.82,-104.39,176.1
227,46613.75,8.29,202.29,-1.89,-102.86,-180.82,-104.39,176.1
228,46609.39,7.8,202.29,-1.89,-102.86,-180.81,-104.39,176.1
229,46604.47,7.31,202.29,-1.89,-102.86,-180.81,-104.39,176.1
230,46599.0,6.82,202.29,-1.89,-102.86,-180.81,-104.39,176.1
231,46593.01,6.33,202.28,-1.89,-102.87,-180.81,-104.39,176.1
232,46586.49,5.85,202.28,-1.89,-102.87,-180.81,-104.39,176.1
233,46579.47,5.37,202.28,-1.89,-102.87,-180.81,-104.39,176.1
234,46571.96,4.9,202.28,-1.89,-102.87,-180.81,-104.39,176.1
235,46563.96,4.43,202.28,-1.89,-102.87,-180.81,-104.38,176.1
236,46555.5,3.97,202.28,-1.9,-102.87,-180.81,-104.38,176.1
237,46546.58,3.5,202.28,-1.9,-102.87,-180.81,-104.38,176.1
238,46537.23,3.05,202.28,-1.9,-102.87,-180.81,-104.38,176.1
239,46527.44,2.6,202.28,-1.9,-102.87,-180.8,-104.38,176.1
240,48472.52,-60.34,211.03,-2.2,-107.51,-188.26,-108.49,183.86
241,48457.6,0.22,211.21,-1.9,-107.31,-188.5,-108.82,183.81
242,48412.25,-1.32,211.22,-1.91,-107.32,-188.51,-108.82,183.82
243,48362.7,-2.68,211.21,-1.92,-107.32,-188.5,-108.82,183.82
244,48312.0,-4.11,211.21,-1.92,-107.33,-188.49,-108.81,183.82
245,48260.24,-5.51,211.2,-1.93,-107.33,-188.49,-108.8,183.82
246,48207.47,-6.87,211.2,-1.94,-107.34,-188.48,-108.79,183.82
247,48153.75,-8.2,211.19,-1.95,-107.34,-188.47,-108.78,183.83
248,48099.13,-9.5,211.19,-1.95,-107.35,-188.47,-108.77,183.83
249,48043.66,-10.76,211.18,-1.96,-107.35,-188.46,-108.76,183.83
250,47987.4,-11.99,211.17,-1.97,-107.36,-188.45,-108.75,183.83
251,47930.38,-13.18,211.17,-1.98,-107.36,-188.44,-108.74,183.83
252,47872.65,-11.14,211.16,-1.99,-107.37,-188.44,-108.73,183.83
253,47814.29,-15.46,211.16,-2.0,-107.38,-188.43,-108.72,183.83
254,47755.32,-16.54,211.15,-2.01,-107.38,-188.42,-108.71,183.83
255,47695.8,-17.59,211.14,-2.02,-107.39,-188.41,-108.7,183.83
256,47635.78,-18.61,211.14,-2.02,-107.39,-188.41,-108.69,183.83
257,47575.31,-19.59,211.13,-2.03,-107.4,-188.4,-108.68,183.83
258,47514.44,-20.6,211.13,-2.04,-107.4,-188.39,-108.67,183.84
259,47453.21,-21.44,211.12,-2.05,-107.41,-188.38,-108.66,183.84
